id,level,NN_parameters,EA_parameters,execution_start
1,2,1,2,2023-05-01T17:24:16
2,2,1,2,2023-05-01T18:11:51
3,2,1,2,2023-05-12T09:44:12
4,2,1,2,2023-05-12T10:22:27
5,3,1,2,2023-05-12T10:22:54
6,3,1,2,2023-05-12T10:26:46
7,3,1,2,2023-05-12T10:26:54
8,3,1,2,2023-05-12T10:29:30
9,3,1,2,2023-05-12T10:30:01
10,3,1,2,2023-05-12T10:47:46
11,3,1,2,2023-05-12T10:52:03
12,3,1,2,2023-05-12T11:11:09
13,3,1,2,2023-05-12T15:41:58
14,3,1,2,2023-05-12T16:03:48
15,3,1,2,2023-05-12T16:16:26
16,3,1,2,2023-05-12T16:18:58
17,3,1,2,2023-05-12T16:27:40
18,3,1,2,2023-05-12T16:32:07
19,3,1,2,2023-05-12T16:39:12
20,3,1,2,2023-05-12T16:43:13
21,3,1,2,2023-05-12T16:43:45
22,3,1,2,2023-05-12T16:44:41
23,3,1,2,2023-05-12T16:45:02
24,3,1,2,2023-05-12T16:46:20
25,3,1,2,2023-05-12T16:55:19
26,3,1,2,2023-05-12T16:59:20
27,3,1,2,2023-05-12T17:21:49
28,3,1,2,2023-05-12T17:32:50
29,3,1,2,2023-05-12T17:34:15
30,3,1,2,2023-05-12T17:35:56
31,3,1,2,2023-05-12T17:36:11
32,3,1,2,2023-05-12T17:38:44
33,3,1,2,2023-05-12T17:39:33
34,3,1,2,2023-05-12T17:41:57
35,3,1,2,2023-05-12T17:45:30
36,3,1,2,2023-05-12T19:46:45
37,3,1,2,2023-05-12T19:47:29
38,3,1,2,2023-05-12T19:47:52
39,3,1,2,2023-05-12T19:59:16
40,3,1,2,2023-05-12T20:00:35
41,3,1,2,2023-05-12T20:03:33
42,3,1,2,2023-05-12T20:04:13
43,3,1,2,2023-05-12T20:05:12
44,3,1,2,2023-05-12T20:05:55
45,3,1,2,2023-05-12T20:08:25
46,3,1,2,2023-05-12T20:09:52
47,3,1,2,2023-05-12T20:17:29
48,3,1,2,2023-05-12T20:18:58
49,3,1,2,2023-05-12T20:19:50
50,3,1,2,2023-05-12T20:24:28
51,3,1,2,2023-05-12T20:34:57
52,3,1,2,2023-05-12T20:36:41
53,3,1,2,2023-05-12T20:42:06
54,3,1,2,2023-05-12T20:45:10
55,3,1,2,2023-05-12T20:47:10
56,3,1,2,2023-05-12T20:47:39
57,3,1,2,2023-05-12T20:50:32
58,3,1,2,2023-05-12T20:51:15
59,3,1,2,2023-05-12T20:54:02
60,3,1,2,2023-05-22T18:30:44
61,3,1,2,2023-05-23T10:17:03
62,1,1,2,2023-05-23T10:17:48
63,2,1,2,2023-05-25T21:00:12
64,2,1,2,2023-05-25T21:00:47
65,2,1,2,2023-05-25T21:08:25
66,2,1,2,2023-05-25T21:08:59
67,2,1,2,2023-05-25T21:12:49
68,2,1,2,2023-05-25T21:13:35
69,2,1,2,2023-05-25T21:18:13
70,2,1,2,2023-05-25T21:18:48
71,2,1,2,2023-05-25T21:19:26
72,2,1,2,2023-05-25T21:24:23
73,2,1,2,2023-05-25T21:24:58
74,2,1,2,2023-05-25T21:25:37
75,2,1,2,2023-05-25T21:26:26
76,2,1,2,2023-05-25T21:27:33
77,2,1,2,2023-05-25T21:28:59
78,2,1,2,2023-05-25T21:30:34
79,2,1,2,2023-05-25T21:31:11
80,2,1,2,2023-05-25T21:31:50
81,2,1,2,2023-05-25T21:32:40
82,2,1,2,2023-05-25T21:33:47
83,2,1,2,2023-05-25T21:35:21
84,2,1,2,2023-05-25T21:37:13
85,2,1,2,2023-05-25T21:37:48
86,2,1,2,2023-05-25T21:38:27
87,2,1,2,2023-05-25T21:39:17
88,2,1,2,2023-05-25T21:44:59
89,2,1,2,2023-05-25T21:45:43
90,2,1,2,2023-05-25T21:46:31
91,2,1,2,2023-05-25T21:47:29
92,2,1,2,2023-05-25T21:48:13
93,2,1,2,2023-05-25T21:49:22
94,2,1,2,2023-05-25T21:49:58
95,2,1,2,2023-05-25T21:52:05
96,2,1,2,2023-05-25T21:52:41
97,2,1,2,2023-05-25T21:54:33
98,2,1,2,2023-05-25T21:55:10
99,2,1,2,2023-05-26T20:44:49
100,2,1,2,2023-05-26T20:45:34
101,2,1,2,2023-05-26T20:46:03
102,2,1,2,2023-05-26T21:48:35
103,2,1,2,2023-05-26T21:51:48
104,2,1,2,2023-05-26T22:02:17
105,2,1,2,2023-05-26T22:02:54
106,2,1,2,2023-05-26T22:11:19
107,2,1,2,2023-05-26T22:12:01
108,2,1,2,2023-05-26T22:12:48
109,2,1,2,2023-05-26T22:13:46
110,2,1,2,2023-05-26T22:15:04
111,2,1,2,2023-05-26T22:16:36
112,2,1,1,2023-05-27T10:55:49
113,2,1,1,2023-05-27T10:56:16
114,2,1,1,2023-05-27T10:56:44
115,2,1,1,2023-05-27T10:59:21
116,2,1,1,2023-05-27T10:59:48
117,2,1,1,2023-05-27T11:00:16
118,2,1,1,2023-05-27T11:01:37
119,2,1,1,2023-05-27T11:02:04
120,2,1,1,2023-05-27T11:02:32
121,2,1,1,2023-05-27T11:02:59
122,2,1,1,2023-05-27T11:03:26
123,2,1,1,2023-05-27T11:03:53
124,2,1,1,2023-05-27T11:04:24
125,2,1,1,2023-05-27T11:04:58
126,2,1,1,2023-05-27T11:05:37
127,2,1,1,2023-05-27T11:06:24
128,2,1,1,2023-05-27T11:07:17
129,2,1,1,2023-05-27T11:08:20
130,2,1,1,2023-05-27T11:09:33
131,2,1,1,2023-05-27T11:10:55
132,2,1,1,2023-05-27T18:17:07
133,2,1,1,2023-05-27T18:17:34
134,2,1,1,2023-05-27T18:18:02
135,2,1,1,2023-05-27T18:31:36
136,2,1,1,2023-05-27T18:33:52
137,2,1,1,2023-05-27T18:35:29
138,2,1,1,2023-05-27T18:38:29
139,2,1,1,2023-05-27T18:38:57
140,2,1,1,2023-05-27T18:39:24
141,2,1,1,2023-05-27T18:39:51
142,2,1,1,2023-05-27T18:40:18
143,2,1,1,2023-05-27T18:40:45
144,2,1,1,2023-05-27T18:41:13
145,2,1,1,2023-05-27T18:41:40
146,2,1,1,2023-05-27T18:42:08
147,2,1,1,2023-05-27T18:42:35
148,2,1,1,2023-05-27T21:20:37
149,2,1,1,2023-05-27T22:17:39
150,2,1,1,2023-05-27T22:18:29
151,2,1,1,2023-05-27T22:18:52
152,2,1,1,2023-05-27T22:19:19
153,2,1,1,2023-05-27T22:19:46
154,2,1,1,2023-05-27T22:20:14
155,2,1,1,2023-06-06T19:17:48
156,2,1,1,2023-06-06T19:22:35
157,2,1,1,2023-06-06T19:22:49
158,2,1,1,2023-06-06T19:23:51
159,2,1,1,2023-06-06T19:27:38
160,2,1,1,2023-06-06T19:28:05
161,2,1,1,2023-06-06T20:27:04
162,2,1,1,2023-06-06T20:27:31
163,2,1,1,2023-06-06T20:27:45
164,2,1,1,2023-06-06T20:28:12
165,2,1,1,2023-06-08T10:31:58
166,2,1,3,2023-06-08T10:32:08
167,2,1,1,2023-06-08T10:36:52
168,2,1,3,2023-06-08T10:37:03
169,2,1,1,2023-06-08T11:28:33
170,2,1,3,2023-06-08T11:28:44
