generation,score,fitness,run_id,level,EA_parameters,NN_parameters,mutation_rate,is_uniform,mutation_step_size,elitism_rate,randomness_rate,population_size,child_count,parent_selection,crossover_type,score_evaluation,fitness_calculation,topology,input_type
1,16.311485290527344,0.06577353179454803,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,16.311485290527344,0.06577353179454803,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.1021456718444824,0.012508920393884182,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,3.0857014656066895,0.01244261208921671,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,1.9154212474822998,0.007723638787865639,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,1.897948980331421,0.007653184235095978,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,1.897948980331421,0.007653184235095978,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,1.853817105293274,0.007475229445844889,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,1.8510692119598389,0.007464149035513401,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.8131647706031799,0.003278960706666112,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7895508408546448,0.003183741122484207,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
1,0.7815505266189575,0.0031514810398221016,1,2,2,1,0.1,1,0,0.2,0.2,200,1,std,std,std,std,"7,5,3",distances
